Date time,Solar (kW),solar_energy,cloud_cover
2023-09-01,13.06,7.7,100.2909091
2023-09-02,29.78,10.6,64.11818182
2023-09-03,39.09,13.6,11.9
2023-09-04,43.95,15,0.2727272727
2023-09-05,44.86,15.2,9.381818182
2023-09-06,33.72,11.9,51.27272727
2023-09-07,38.71,14.2,16.30909091
2023-09-08,32.49,12.1,0.4636363636
2023-09-09,38.46,12.8,19.73636364
2023-09-10,9.38,4.4,45.31818182
2023-09-11,17.73,11.1,74.44545455
2023-09-12,7.06,2.2,100.9
2023-09-13,34.82,15.6,28.10909091
2023-09-14,7.57,4.9,95.65454545
2023-09-15,29.82,12.4,44.02727273
2023-09-16,16.83,6.2,90.42727273
2023-09-17,15.12,7.4,92.02727273
2023-09-18,21.36,6.8,88.00909091
2023-09-19,9.47,5.6,100.7727273
2023-09-20,4.89,2.2,95.74545455
2023-09-21,29.64,11.6,27.53636364
2023-09-22,28.08,9.3,41.65454545
2023-09-23,28.67,10.9,47.75454545
2023-09-24,11.17,5,91.00909091
2023-09-25,30.91,10.5,34.61818182
2023-09-26,20.35,7.3,80.85454545
2023-09-27,6.9,3.2,87.34545455
2023-09-28,10.9,4.6,47.68181818
2023-09-29,38.87,11.7,47.56363636
2023-09-30,12.71,4.7,54.64545455